PM2.5,PM10,PM1.0,DATE,ID
7,8,2,2020-11-04 18:20:49,2
7,8,2,2020-11-04 18:21:19,2
4,5,2,2020-11-04 18:21:49,2
6,6,3,2020-11-04 18:22:19,2
4,5,4,2020-11-04 18:22:50,2
7,8,4,2020-11-04 18:23:20,2
7,8,4,2020-11-04 18:23:50,2
6,8,4,2020-11-04 18:24:21,2
6,9,4,2020-11-04 18:24:51,2
6,10,4,2020-11-04 18:25:21,2
8,11,5,2020-11-04 18:25:51,2
7,9,7,2020-11-04 18:26:22,2
6,9,6,2020-11-04 18:26:53,2
5,8,5,2020-11-04 18:27:23,2
4,6,4,2020-11-04 18:27:53,2
4,5,4,2020-11-04 18:28:24,2
3,3,3,2020-11-04 18:28:56,2
3,3,3,2020-11-04 18:29:26,2
6,6,3,2020-11-04 18:29:58,2
6,8,3,2020-11-04 18:30:28,2
7,9,4,2020-11-04 18:30:58,2
5,7,5,2020-11-04 18:31:29,2
10,11,4,2020-11-04 18:31:59,2
15,15,4,2020-11-04 18:32:29,2
17,19,4,2020-11-04 18:32:59,2
11,13,3,2020-11-04 18:33:30,2
5,8,3,2020-11-04 18:34:00,2
2,3,2,2020-11-04 18:34:30,2
2,3,2,2020-11-04 18:35:00,2
3,4,3,2020-11-04 18:35:32,2
4,5,4,2020-11-04 18:36:02,2
5,5,5,2020-11-04 18:36:33,2
5,5,5,2020-11-04 18:37:03,2
4,5,4,2020-11-04 18:37:33,2
8,9,6,2020-11-04 18:38:03,2
7,7,5,2020-11-04 18:38:34,2
7,7,4,2020-11-04 18:39:05,2
3,3,3,2020-11-04 18:39:37,2
2,2,2,2020-11-04 18:40:07,2
5,6,2,2020-11-04 18:40:38,2
5,9,3,2020-11-04 18:41:09,2
6,12,3,2020-11-04 18:41:39,2
7,12,4,2020-11-04 18:42:10,2
12,16,5,2020-11-04 18:42:41,2
13,15,6,2020-11-04 18:43:11,2
10,12,5,2020-11-04 18:43:41,2
4,6,4,2020-11-04 18:44:12,2
4,5,4,2020-11-04 18:44:43,2
4,7,4,2020-11-04 18:45:14,2
5,8,5,2020-11-04 18:45:45,2
4,6,4,2020-11-04 18:46:15,2
3,4,3,2020-11-04 18:46:45,2
3,3,3,2020-11-04 18:47:16,2
6,6,3,2020-11-04 18:47:47,2
8,9,4,2020-11-04 18:48:17,2
11,12,4,2020-11-04 18:48:47,2
10,10,5,2020-11-04 18:49:17,2
11,12,6,2020-11-04 18:49:48,2
8,9,5,2020-11-04 18:50:18,2
7,9,5,2020-11-04 18:50:48,2
9,10,5,2020-11-04 18:51:19,2
9,10,4,2020-11-04 18:51:49,2
8,9,3,2020-11-04 18:52:19,2
3,4,3,2020-11-04 18:52:49,2
3,3,3,2020-11-04 18:53:19,2
3,4,3,2020-11-04 18:53:50,2
6,7,3,2020-11-04 18:54:20,2
6,8,3,2020-11-04 18:54:50,2
8,10,5,2020-11-04 18:55:21,2
5,7,5,2020-11-04 18:55:52,2
8,10,6,2020-11-04 18:56:22,2
8,10,5,2020-11-04 18:56:53,2
8,10,5,2020-11-04 18:57:23,2
4,6,4,2020-11-04 18:57:53,2
7,8,4,2020-11-04 18:58:24,2
10,12,5,2020-11-04 18:58:54,2
13,15,5,2020-11-04 18:59:24,2
9,12,4,2020-11-04 18:59:54,2
