type 0,type 1,type 2,type 3,type 4,type 5,type 6,type 7,type 8,type 9,type 10,type 11,type 12,type 13,type 14,type 15,type 16,type 17,type 18,type 19,type 20,type 21,type 22,type 23,type 24,type 25,type 26,type 27,type 28,type 29,type 30,type 31,type 32,type 33,type 34,type 35,type 36,type 37,type 38,type 39,type 40,type 41,type 42,type 43,type 44,type 45,type 46,type 47,type 48,type 49,type 50,type 51,type 52,type 53,type 54,type 55,type 56,type 57,type 58,type 59,type 60,type 61,type 62,type 63,type 64,type 65,type 66,type 67,type 68,type 69,type 70,type 71,type 72,type 73,type 74,type 75,type 76,type 77,type 78,type 79,type 80,type 81,type 82,type 83,type 84,type 85,type 86,type 87,type 88,type 89,type 90,type 91,type 92,type 93,type 94,type 95,type 96,type 97,type 98,type 99
  154,  38,  51,  14,  48,  50,  31,  20,  8,  224,  26, 45,  45,  30,  105, 64, 36, 56, 48, 56, 51, 16, 24, 40, 126, 238, 66, 7, 14, 21, 10, 9, 9, 11, 14, 12, 15, 6, 8, 10, 7, 11, 20, 12, 14, 5, 5, 5, 5, 6, 10, 8, 10, 8, 12, 14, 5, 4, 18, 7, 12, 48, 19, 10, 18, 18, 15, 14, 16, 14, 13, 8, 8, 22, 11, 12, 13, 20, 11,  122, 78, 29, 49, 26,  107,  154, 83, 42, 38, 161, 162, 50, 36, 75, 247, 46, 52, 240, 127, 123
  162,  33,  57,  22,  45,  37,  7,  3,  18,  244,  32, 37,  45,  25,  117, 66, 30, 51, 50, 50, 43, 29, 27, 43, 117, 203, 79, 7, 11, 20, 7, 9, 15, 14, 11, 12, 15, 10, 8, 9, 9, 7, 21, 13, 17, 5, 4, 6, 6, 4, 8, 9, 10, 8, 9, 15, 5, 3, 12, 5, 6, 56, 11, 16, 19, 19, 17, 17, 15, 16, 12, 10, 10, 18, 12, 12, 13, 18, 10,  122, 75, 44, 35, 26,  115,  162, 88, 35, 30, 166, 169, 50, 28, 76, 202, 48, 43, 202, 122, 123
 184,  40,  58,  26,  54,  50,  20,  20,  9,  216,  44, 23,  57,  34,  108, 68, 29, 58, 44, 47, 53, 38, 16, 45, 106, 250, 72, 12, 11, 16, 5, 7, 12, 20, 8, 13, 14, 10, 9, 15, 13, 6, 20, 13, 14, 6, 8, 5, 7, 12, 7, 9, 7, 4, 9, 14, 4, 6, 15, 5, 7, 56, 10, 19, 20, 20, 18, 15, 11, 16, 17, 11, 9, 12, 17, 11, 10, 18, 10,  116, 76, 47, 37, 16,  105, 164, 87, 45, 38, 173, 154, 55, 30, 77, 246, 59, 50, 240, 114, 109
  174,  60,  55,  29,  58,  39,  19,  17,  6,  222,  37, 21,  66,  51,  123, 50, 39, 64, 39, 47, 59, 40, 15, 49, 129, 208, 88, 13, 13, 14, 8, 8, 10, 20, 14, 12, 14, 12, 9, 12, 15, 6, 15, 13, 9, 6, 10, 5, 8, 11, 9, 4, 9, 10, 7, 11, 5, 8, 9, 4, 7, 55, 17, 25, 21, 21, 17, 13, 10, 11, 14, 11, 10, 15, 23, 14, 10, 15, 8,  122, 77, 40, 50, 16,  120,  172, 85, 64, 62, 174, 177, 63, 49, 95, 208, 59, 43, 200, 127, 126
  196,  51,  54,  26,  52,  20,  20,  19,  9,  214,  48, 47,  79,  55,  139, 46, 60, 50, 38, 43, 59, 41, 36, 51, 152, 247, 94, 17, 16, 13, 12, 11, 8, 17, 12, 11, 14, 11, 8, 15, 20, 6, 13, 7, 5, 8, 14, 7, 10, 12, 18, 11, 9, 10, 5, 9, 6, 11, 9, 4, 6, 60, 25, 25, 24, 24, 19, 12, 15, 11, 12, 7, 10, 24, 23, 14, 11, 12, 12,  114, 75, 43, 46, 9,  122,  193, 99, 56, 49, 199, 187, 46, 65, 95, 244, 57, 23, 250, 117, 113
  174,  62,  57,  16,  48,  47,  16,  24,  9,  228,  61, 56,  89,  58,  142, 63, 51, 55, 45, 43, 52, 39, 55, 46, 106, 234, 92, 13, 19, 11, 13, 14, 12, 11, 12, 7, 8, 11, 5, 12, 17, 9, 7, 10, 4, 10, 13, 9, 7, 7, 21, 14, 10, 17, 2, 7, 11, 10, 5, 4, 5, 63, 26, 23, 25, 25, 17, 20, 18, 15, 8, 7, 9, 34, 20, 12, 8, 13, 12,  128, 68, 46, 33, 11,  132,  173, 117, 69, 59, 174, 174, 39, 60, 99, 244, 44, 52, 241, 129, 124
  182,  69,  62,  31,  89,  69,  17,  4,  11,  227,  61, 56,  90,  71,  114, 65, 36, 67, 49, 48, 57, 30, 35, 55, 140, 225, 94, 11, 18, 15, 16, 16, 15, 12, 6, 9, 5, 11, 4, 11, 19, 7, 8, 7, 7, 9, 9, 8, 8, 9, 18, 13, 7, 12, 3, 5, 14, 15, 4, 7, 5, 57, 24, 28, 21, 21, 25, 19, 27, 16, 9, 7, 11, 34, 13, 8, 8, 16, 18,  127, 69, 42, 37, 10,  134,  182, 123, 74, 74, 184, 179, 97, 72, 102, 220, 88, 68, 238, 127, 120
  210,  70,  63,  48,  131,  69,  10,  15,  9,  213,  40, 45,  134,  76,  137, 57, 36, 61, 47, 47, 62, 44, 19, 54, 219, 218, 90, 12, 22, 13, 14, 16, 13, 10, 7, 11, 6, 10, 9, 14, 16, 6, 9, 6, 7, 12, 10, 7, 8, 8, 11, 11, 5, 12, 5, 5, 14, 14, 5, 6, 6, 59, 23, 28, 18, 18, 23, 17, 21, 13, 8, 7, 9, 23, 19, 15, 9, 24, 12,  113, 67, 36, 45, 36,  137,  208, 121, 79, 69, 211, 205, 124, 79, 91, 228, 126, 64, 222, 116, 117
  214,  76,  76,  58,  120,  27,  15,  15,  9,  204,  53, 49,  127,  78,  140, 60, 50, 67, 58, 57, 66, 65, 97, 55, 212, 236, 91, 14, 19, 15, 13, 15, 11, 10, 8, 11, 6, 12, 12, 14, 13, 6, 8, 5, 7, 10, 10, 7, 7, 7, 8, 7 , 8, 8, 10, 6, 8, 13, 6, 8, 10, 48, 23, 25, 17, 17, 23, 18, 17, 8, 10, 10, 11, 52, 18, 16, 14, 24, 11,  104, 70, 32, 77, 83,  130,  212, 120, 78, 79, 222, 210, 118, 78, 86, 245, 115, 29, 251, 105, 103
 233,  82,  82,  78,  160,  59,  49,  13,  16,  240,  82, 82,  146,  95,  146, 61, 65, 75, 80, 72, 74, 75, 111, 67, 232, 249, 95, 17, 24, 13, 11, 11, 13, 9, 11, 9, 8, 10, 12, 19, 11, 6, 6, 7, 9, 9, 12, 6, 6, 6, 9, 7, 12, 10, 11, 11, 7, 7, 7, 4, 9, 37, 18, 20, 21, 21, 17, 25, 11, 13, 12, 12, 11, 66, 20, 15, 14, 21, 10,  140, 81, 186, 89, 82,  141, 230, 163, 86, 82, 229, 223, 150, 95, 102, 245, 160, 59, 243, 138, 137
